"artist","track","plays","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_s","liked"
"$uicideboy$","10,000 DEGREES",1,0.692,0.719,"C#",-8.277,"Major",0.216,0.0214,0,0.105,0.332,156.013,"4/4",189,0
"$uicideboy$","122 DAYS",1,0.748,0.381,"F#",-13.221,"Major",0.362,0.409,7.04e-06,0.571,0.0832,130.944,"4/4",184,0
"$uicideboy$","BRING OUT YOUR DEAD",1,0.844,0.899,"C#",-7.979,"Major",0.25,0.0232,0,0.521,0.916,111.982,"4/4",106,0
"$uicideboy$","FUCKALLOFYOU2K18",1,0.777,0.723,"G#",-6.806,"Minor",0.274,0.00338,2.08e-06,0.634,0.334,76.985,"4/4",119,0
"$uicideboy$","KING TULIP",1,0.584,0.576,"A#",-9.435,"Minor",0.449,0.14,0,0.111,0.261,120.765,"4/4",185,0
"$uicideboy$","KREWE DU VIEUX (COMEDY & TRAGEDY)",1,0.826,0.597,"C",-4.299,"Major",0.0523,0.0262,0.0116,0.0962,0.137,101.979,"4/4",104,0
"$uicideboy$","Meet Mr. NICEGUY",50,0.748,0.693,"F#",-4.896,"Major",0.0499,0.011,0.15,0.155,0.664,120.978,"4/4",146,1
"$uicideboy$","NICOTINE PATCHES",1,0.747,0.576,"C",-9.764,"Minor",0.119,0.0189,0.000716,0.26,0.412,145.929,"4/4",156,0
"$uicideboy$","WAR TIME ALL THE TIME",1,0.728,0.658,"G",-8.411,"Major",0.0817,0.00744,0,0.448,0.146,134.887,"4/4",146,0
"[bsd.u]","Reefers",1,0.806,0.389,"A",-8.893,"Minor",0.0891,0.194,0.777,0.236,0.77,130.051,"4/4",75,0
"<U+D0DC><U+C591>","Wedding Dress",8,0.729,0.669,"C",-4.73,"Major",0.0347,0.122,0,0.129,0.707,133.943,"4/4",243,1
"<U+D0DC><U+C591>","Wedding Dress - English Version",1,0.693,0.634,"C",-5.863,"Major",0.0499,0.068,0,0.104,0.525,133.946,"4/4",248,0
"070 Shake","Accusations",2,0.901,0.283,"F#",-10.156,"Minor",0.0769,0.453,0.000111,0.0858,0.333,118.963,"4/4",280,0
"070 Shake","Honey",1,0.696,0.667,"C",-7.665,"Minor",0.0407,0.0114,0,0.181,0.287,121.932,"4/4",398,0
"10cm","Where Is Dream",2,0.757,0.668,"C",-2.994,"Major",0.0348,0.358,0,0.161,0.818,95.012,"4/4",183,0
"12AM","Can't Love",2,0.568,0.465,"G",-7.47,"Minor",0.0293,0.109,0,0.085,0.143,126.126,"4/4",234,0
"12th Planet","Clairvoyant",1,0.345,0.949,"E",-3.352,"Minor",0.0621,0.00458,0.00051,0.219,0.0362,149.273,"4/4",170,0
"12th Planet","We Don't Play",1,0.592,0.937,"B",-5.453,"Minor",0.158,0.00418,7.58e-06,0.406,0.339,150.096,"4/4",298,0
"1788-L","A B Y S S",2,0.393,0.938,"A",-5.819,"Major",0.137,0.00467,0.717,0.398,0.102,177.055,"4/4",213,0
"1788-L","Cyberspace",1,0.575,0.701,"C",-4.145,"Major",0.0932,0.0099,0.185,0.156,0.0379,109.005,"4/4",291,0
"1788-L","Destiny",5,0.562,0.613,"C#",-3.875,"Minor",0.0569,0.00269,6.89e-05,0.359,0.072,97.917,"4/4",228,0
"1991","Full Send",1,0.514,0.956,"F",-0.846,"Minor",0.0297,0.0363,0.0759,0.123,0.489,173.955,"4/4",229,0
"1991","Jungle Cats",1,0.557,0.811,"C",-3.951,"Major",0.044,7.7e-05,0.904,0.79,0.332,173.925,"4/4",258,0
"1991","The People",55,0.572,0.971,"A#",-1.865,"Minor",0.0423,0.0132,0.822,0.084,0.398,154.958,"4/4",180,1
"1991","The People - D&B Mix",2,0.526,0.943,"A#",-1.036,"Minor",0.0566,0.000424,0.886,0.0358,0.478,173.847,"4/4",204,0
"2 Chainz","2 Dollar Bill (feat. Lil Wayne, E-40)",3,0.852,0.739,"A#",-4.692,"Minor",0.182,0.37,0,0.0429,0.668,101.019,"4/4",240,0
"2 Chainz","4 AM",36,0.796,0.5,"C#",-7.21,"Major",0.425,0.118,0,0.155,0.227,75.012,"4/4",256,1
"2 Chainz","Bigger Than You (feat. Drake & Quavo)",10,0.888,0.515,"C#",-6.246,"Major",0.271,0.247,0,0.446,0.264,141.009,"4/4",226,1
"2 Chainz","Forgiven (feat. Marsha Ambrosius)",3,0.491,0.523,"G",-9.417,"Major",0.592,0.155,0,0.405,0.243,73.79,"4/4",323,0
"2 Chainz","Girl's Best Friend (feat. Ty Dolla $ign)",3,0.898,0.428,"A",-7.465,"Major",0.0813,0.00721,0.13,0.0975,0.501,99.997,"4/4",193,0
"2 Chainz","Good Drank",2,0.836,0.776,"E",-0.804,"Minor",0.239,0.274,0,0.113,0.37,130.033,"4/4",223,0
"2 Chainz","High Top Versace (feat. Young Thug)",2,0.788,0.591,"C#",-4.838,"Major",0.133,0.00206,1.95e-05,0.116,0.247,152.071,"4/4",177,0
"2 Chainz","I'm Not Crazy, Life Is (feat. Chance The Rapper, Kodak Black)",1,0.637,0.639,"C",-5.834,"Major",0.179,0.148,0,0.115,0.345,75.489,"4/4",330,0
"2 Chainz","I Said Me",2,0.709,0.503,"G",-5.762,"Major",0.538,0.312,0,0.21,0.26,87.673,"4/4",332,0
"2 Chainz","It's a Vibe",49,0.822,0.502,"G",-7.38,"Major",0.148,0.0312,0.000887,0.114,0.525,73.003,"4/4",210,1
"2 Chainz","Momma I Hit a Lick (feat. Kendrick Lamar)",30,0.796,0.467,"B",-6.293,"Major",0.34,0.202,3.32e-05,0.206,0.4,179.974,"3/4",174,1
"2 Chainz","Money in the Way",44,0.79,0.793,"G",-4.138,"Major",0.2,0.238,2.14e-06,0.305,0.584,85.006,"4/4",162,1
"2 Chainz","NCAA",48,0.839,0.641,"D#",-5.837,"Minor",0.284,0.178,0,0.135,0.462,120.037,"4/4",248,1
"2 Chainz","PROUD",7,0.791,0.813,"A#",-4.244,"Minor",0.376,0.758,0,0.143,0.907,173.937,"4/4",235,0
"2 Chainz","Rule the World (feat. Ariana Grande)",35,0.592,0.584,"G#",-6.232,"Minor",0.0893,0.158,2.63e-06,0.132,0.447,88.073,"4/4",246,1
"2 Chainz","Sam",3,0.717,0.698,"F",-6.26,"Major",0.0719,0.0356,3.22e-06,0.366,0.391,133.032,"4/4",251,0
"2 Chainz","Smartphone",1,0.895,0.564,"G",-7.261,"Major",0.502,0.734,1.25e-06,0.718,0.366,129.97,"4/4",252,0
"2 Chainz","Statute of Limitations",1,0.834,0.526,"A#",-5.209,"Minor",0.486,0.00914,0,0.12,0.259,179.945,"4/4",149,0
"2 Chainz","Threat 2 Society",1,0.617,0.779,"C#",-5.084,"Major",0.287,0.201,0,0.117,0.887,83.332,"4/4",226,0
"2 Chainz","Whip (feat. Travis Scott)",5,0.793,0.399,"G",-7.428,"Major",0.0951,0.12,0,0.124,0.0379,121.949,"4/4",227,0
"21 Savage","1.5",13,0.885,0.52,"C#",-8.353,"Major",0.359,0.000244,1.16e-06,0.454,0.306,84.022,"4/4",149,1
"21 Savage","4L",7,0.879,0.41,"G#",-9.233,"Major",0.551,0.000897,2.09e-05,0.108,0.0703,80.011,"4/4",288,0
"21 Savage","a lot",81,0.837,0.636,"C#",-7.643,"Major",0.086,0.0395,0.00125,0.342,0.274,145.972,"4/4",289,1
"21 Savage","a&t",5,0.924,0.567,"F",-5.009,"Major",0.0961,0.00169,0,0.0898,0.827,146.976,"4/4",212,0
"21 Savage","all my friends",59,0.713,0.62,"C",-4.513,"Major",0.0422,0.171,1.16e-06,0.118,0.206,130.09,"4/4",212,1
"21 Savage","asmr",41,0.84,0.543,"C#",-7.738,"Major",0.476,0.0399,0,0.117,0.161,170.067,"4/4",172,1
"21 Savage","ball w/o you",4,0.892,0.633,"G#",-7.471,"Major",0.0902,0.0467,0.000189,0.139,0.459,137.994,"4/4",195,0
"21 Savage","Bank Account",71,0.884,0.346,"G#",-8.228,"Minor",0.351,0.0151,7.04e-06,0.0871,0.376,75.016,"4/4",220,1
"21 Savage","Brand New Draco",6,0.697,0.709,"B",-6.642,"Minor",0.298,0.041,0.000296,0.0886,0.439,155.023,"4/4",202,0
"21 Savage","break da law",6,0.904,0.575,"C#",-7.823,"Major",0.346,0.0493,0,0.256,0.359,141.037,"4/4",178,0
"21 Savage","can't leave without it",6,0.872,0.591,"F#",-6.952,"Minor",0.359,0.111,0,0.144,0.696,131.982,"4/4",205,0
"21 Savage","Disrespectful",2,0.799,0.381,"C#",-7.147,"Major",0.464,0.354,3.12e-06,0.135,0.0488,158.021,"4/4",160,0
"21 Savage","Emergency (feat. Gunna & Young Thug)",1,0.754,0.817,"D",-5.283,"Major",0.254,0.073,0,0.379,0.269,142.783,"4/4",177,0
"21 Savage","Famous",39,0.779,0.597,"A",-9.652,"Minor",0.434,0.723,4.47e-05,0.0508,0.646,173.986,"4/4",234,1
"21 Savage","Ghostface Killers",36,0.782,0.436,"D",-7.033,"Major",0.155,0.331,1.3e-05,0.342,0.243,82.994,"4/4",269,1
"21 Savage","Glock In My Lap",10,0.847,0.733,"A#",-6.439,"Minor",0.16,0.00574,1.04e-05,0.151,0.202,130.029,"4/4",194,1
"21 Savage","good day",3,0.966,0.519,"C#",-5.682,"Major",0.306,0.00359,0,0.254,0.119,122.195,"4/4",242,0
"21 Savage","gun smoke",6,0.809,0.461,"A#",-5.677,"Minor",0.0907,0.000832,4.43e-05,0.143,0.325,85.992,"4/4",167,0
"21 Savage","Immortal",1,0.741,0.87,"F#",-3.494,"Minor",0.503,0.00813,0,0.114,0.663,184.194,"4/4",255,0
"21 Savage","INTRO",5,0.427,0.473,"C#",-11.104,"Major",0.15,0.312,0.369,0.527,0.654,80.972,"3/4",70,0
"21 Savage","letter 2 my momma",3,0.864,0.608,"C#",-10.567,"Minor",0.275,0.0531,1.2e-05,0.078,0.963,80.225,"4/4",195,0
"21 Savage","Mad Stalkers",2,0.9,0.365,"A#",-6.395,"Minor",0.235,0.147,0.185,0.179,0.136,135.003,"4/4",203,0
"21 Savage","Many Men",7,0.635,0.793,"A#",-4.333,"Minor",0.0322,0.000647,0.747,0.113,0.281,77.594,"4/4",202,0
"21 Savage","monster",62,0.89,0.607,"A",-6.916,"Minor",0.124,0.158,0.000228,0.118,0.224,134.022,"4/4",233,1
"21 Savage","Mr. Right Now (feat. Drake)",11,0.647,0.667,"F",-5.563,"Major",0.304,0.231,0,0.133,0.704,172.08,"4/4",194,1
"21 Savage","My Choppa Hate Niggas",4,0.862,0.274,"C",-5.818,"Minor",0.484,0.0974,0.185,0.183,0.146,77.493,"4/4",149,0
"21 Savage","My Dawg",7,0.831,0.532,"C",-5.319,"Minor",0.301,0.0652,0,0.464,0.364,140.105,"4/4",182,0
"21 Savage","No Heart",49,0.906,0.444,"E",-8.692,"Minor",0.384,0.136,6.44e-05,0.173,0.678,140.063,"4/4",235,1
"21 Savage","No Opp Left Behind",5,0.823,0.703,"G#",-2.691,"Major",0.298,0.0161,1.35e-06,0.294,0.26,178.043,"4/4",194,0
"21 Savage","Nothin New",38,0.743,0.467,"C",-10.354,"Minor",0.401,0.145,1.15e-06,0.0891,0.19,150.004,"4/4",219,1
"21 Savage","out for the night",7,0.593,0.632,"F#",-5.381,"Minor",0.541,0.0133,0,0.64,0.0789,173.369,"4/4",235,0
