"","artist","track","plays","spotify_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration"
"1","'In The Heights' Original Broadway Company","Breathe",1,"6OSTrvIX8JXxRxFT4C9y0J",0.397,0.242,"A#",-10.754,"Major",0.0663,0.848,0,0.106,0.144,171.747,"3/4",4M 4S
"2","(G)I-DLE","Uh-Oh",1,"1OBb2wZMXKNmtdyyejLIyL",0.781,0.814,"B",-3.315,"Minor",0.0648,0.0586,0,0.118,0.782,92.037,"4/4",3M 28S
"3","015B","My Hair Is Green",3,"64agZv9pDgEkQgfvNcBnBP",0.581,0.876,"D",-4.959,"Minor",0.177,0.253,2.65e-06,0.281,0.767,156.05,"4/4",3M 14S
"4","6ix9ine","FEFE",1,"2l8nEO0vsTRCRnGqQty6qx",0.931,0.387,"C#",-9.127,"Major",0.412,0.088,0,0.136,0.376,125.978,"4/4",2M 59S
"5","A$H.","i got the moves",2,"08sySuh4pX7SHbhbT1a44T",0.694,0.625,"C#",-8.753,"Major",0.0252,0.122,0.025,0.0789,0.469,108.133,"4/4",4M 14S
"6","Adele","Easy on Me",12,"0gplL1WMoJ6iYaPgMCL0gX",0.604,0.366,"F",-7.519,"Major",0.0282,0.578,0,0.133,0.13,141.981,"4/4",3M 45S
"7","Adele","Send My Love (To Your New Lover)",1,"0t7fVeEJxO2Xi4H2K5Svc9",0.688,0.533,"F#",-8.363,"Minor",0.0865,0.0355,3.48e-06,0.172,0.567,164.069,"4/4",3M 43S
"8","aespa","Lucid Dream",1,"285Bh5EkbxGGE76ge8JDbH",0.7,0.753,"B",-3.841,"Minor",0.0441,0.0539,1.72e-05,0.072,0.146,97.998,"4/4",3M 31S
"9","Aja","Level Ya Pussy Up",2,"4LyjPhzA99ey35vQCwoJW5",0.853,0.629,"A#",-8.342,"Minor",0.338,0.0879,0.000103,0.0994,0.534,138.055,"4/4",2M 23S
"10","Alessia Cara","Okay Okay",1,"3JH1alhYiP4TTEsmDiNVrf",0.684,0.452,"F",-7.126,"Major",0.262,0.0629,0,0.302,0.752,177.851,"4/4",2M 38S
"11","Alex & Sierra","Little Do You Know",1,"1almCHdsfikRPfVB9VrEdT",0.5,0.292,"C",-8.554,"Major",0.0323,0.746,0,0.188,0.37,145.879,"4/4",3M 5S
