"danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_s","liked","mode_major","time_signature_0/4","time_signature_1/4","time_signature_3/4","time_signature_4/4","time_signature_5/4","key_A","key_A#","key_B","key_C","key_C#","key_D","key_D#","key_E","key_F","key_F#","key_G","key_G#"
0.692,0.719,-8.277,0.216,0.0214,0,0.105,0.332,156.013,189,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.748,0.381,-13.221,0.362,0.409,7.04e-06,0.571,0.0832,130.944,184,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.844,0.899,-7.979,0.25,0.0232,0,0.521,0.916,111.982,106,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.777,0.723,-6.806,0.274,0.00338,2.08e-06,0.634,0.334,76.985,119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.584,0.576,-9.435,0.449,0.14,0,0.111,0.261,120.765,185,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.826,0.597,-4.299,0.0523,0.0262,0.0116,0.0962,0.137,101.979,104,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.748,0.693,-4.896,0.0499,0.011,0.15,0.155,0.664,120.978,146,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.747,0.576,-9.764,0.119,0.0189,0.000716,0.26,0.412,145.929,156,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.728,0.658,-8.411,0.0817,0.00744,0,0.448,0.146,134.887,146,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.806,0.389,-8.893,0.0891,0.194,0.777,0.236,0.77,130.051,75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.729,0.669,-4.73,0.0347,0.122,0,0.129,0.707,133.943,243,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.693,0.634,-5.863,0.0499,0.068,0,0.104,0.525,133.946,248,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.901,0.283,-10.156,0.0769,0.453,0.000111,0.0858,0.333,118.963,280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.696,0.667,-7.665,0.0407,0.0114,0,0.181,0.287,121.932,398,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.757,0.668,-2.994,0.0348,0.358,0,0.161,0.818,95.012,183,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.568,0.465,-7.47,0.0293,0.109,0,0.085,0.143,126.126,234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.345,0.949,-3.352,0.0621,0.00458,0.00051,0.219,0.0362,149.273,170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.592,0.937,-5.453,0.158,0.00418,7.58e-06,0.406,0.339,150.096,298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.393,0.938,-5.819,0.137,0.00467,0.717,0.398,0.102,177.055,213,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.575,0.701,-4.145,0.0932,0.0099,0.185,0.156,0.0379,109.005,291,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.562,0.613,-3.875,0.0569,0.00269,6.89e-05,0.359,0.072,97.917,228,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.514,0.956,-0.846,0.0297,0.0363,0.0759,0.123,0.489,173.955,229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.557,0.811,-3.951,0.044,7.7e-05,0.904,0.79,0.332,173.925,258,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.572,0.971,-1.865,0.0423,0.0132,0.822,0.084,0.398,154.958,180,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.526,0.943,-1.036,0.0566,0.000424,0.886,0.0358,0.478,173.847,204,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.852,0.739,-4.692,0.182,0.37,0,0.0429,0.668,101.019,240,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.796,0.5,-7.21,0.425,0.118,0,0.155,0.227,75.012,256,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.888,0.515,-6.246,0.271,0.247,0,0.446,0.264,141.009,226,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.491,0.523,-9.417,0.592,0.155,0,0.405,0.243,73.79,323,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.898,0.428,-7.465,0.0813,0.00721,0.13,0.0975,0.501,99.997,193,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.836,0.776,-0.804,0.239,0.274,0,0.113,0.37,130.033,223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.788,0.591,-4.838,0.133,0.00206,1.95e-05,0.116,0.247,152.071,177,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.637,0.639,-5.834,0.179,0.148,0,0.115,0.345,75.489,330,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.709,0.503,-5.762,0.538,0.312,0,0.21,0.26,87.673,332,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.822,0.502,-7.38,0.148,0.0312,0.000887,0.114,0.525,73.003,210,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.796,0.467,-6.293,0.34,0.202,3.32e-05,0.206,0.4,179.974,174,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.79,0.793,-4.138,0.2,0.238,2.14e-06,0.305,0.584,85.006,162,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.839,0.641,-5.837,0.284,0.178,0,0.135,0.462,120.037,248,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.791,0.813,-4.244,0.376,0.758,0,0.143,0.907,173.937,235,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.592,0.584,-6.232,0.0893,0.158,2.63e-06,0.132,0.447,88.073,246,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.717,0.698,-6.26,0.0719,0.0356,3.22e-06,0.366,0.391,133.032,251,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.895,0.564,-7.261,0.502,0.734,1.25e-06,0.718,0.366,129.97,252,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.834,0.526,-5.209,0.486,0.00914,0,0.12,0.259,179.945,149,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.617,0.779,-5.084,0.287,0.201,0,0.117,0.887,83.332,226,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.793,0.399,-7.428,0.0951,0.12,0,0.124,0.0379,121.949,227,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
